Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,10.147.18.10,Successful,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/http.10.147.18.10.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/http.10.147.18.10.txt
https,636,10.147.18.10,BadStatus,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/https.10.147.18.10.636.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/https.10.147.18.10.636.txt
https,3269,10.147.18.10,BadStatus,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/https.10.147.18.10.3269.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/https.10.147.18.10.3269.txt
https,636,10.147.18.11,BadStatus,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/https.10.147.18.11.636.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/https.10.147.18.11.636.txt
https,3269,10.147.18.11,BadStatus,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/https.10.147.18.11.3269.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/https.10.147.18.11.3269.txt
http,80,10.147.18.22,BadStatus,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/screens/http.10.147.18.22.png,/home/kali/GOAD/ad-from-0-to-Hero/no_credentials/network_scan/2023-11-05_051005/source/http.10.147.18.22.txt
